0	0.3	0.5	0.65	0.78	0.85	0.9	0.91	0.915	0.916
0.1	0.4	0.65	0.85	0.9	0.95	0.97	0.98	0.98	0.98
0	0.35	0.6	0.8	0.85	0.82	0.821	0.822	0.822	0.822
1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
0.1	0.2	0.25	0.28	0.3	0.31	0.315	0.318	0.32	0.32
1	1	1	1	1	1	1	1	1	1
0.1	0.45	0.67	0.7	0.75	0.78	0.79	0.8	0.81	0.82
0.5	0.7	0.9	0.99	0.99	0.99	0.99	0.99	0.99	0.99
0.4	0.55	0.68	0.77	0.85	0.92	0.95	0.97	0.99	0.99
0	0	0	0	0	0	0	0	0	0
0.1	0.113	0.115	0.117	0.118	0.188	0.119	0.12	0.121	0.121
0	0.2	0.3	0.35	0.38	0.39	0.4	0.41	0.411	0.411
0	0.3	0.55	0.6	0.7	0.75	0.78	0.79	0.8	0.8
0	0	0	0	0	0	0	0	0	0
0	0.5	0.7	0.85	0.88	0.9	0.91	0.91	0.91	0.91
0.3	0.5	0.6	0.67	0.7	0.72	0.73	0.74	0.75	0.75
0.2	0.3	0.38	0.45	0.48	0.49	0.5	0.5	0.5	0.5
0.33	0.65	0.7	0.73	0.75	0.76	0.765	0.77	0.77	0.77
0.25	0.4	0.5	0.55	0.6	0.63	0.64	0.65	0.66	0.66
0.3	0.5	0.6	0.66	0.7	0.72	0.73	0.735	0.736	0.736
0.42	0.64	0.71	0.73	0.74	0.74	0.74	0.74	0.74	0.74
